,ISBN,book_id,Publication Year,Author,Title,AvgRating,Image-URL,Image-URL-S
1282,0385498721,1283,1992,Daniel Quinn,Ishmael:A Novel,3.97,https://images.gr-assets.com/books/1388180479m/227265.jpg,https://images.gr-assets.com/books/1388180479s/227265.jpg
1283,0972948503,1284,2010,Jenny Han,"It's Not Summer Without You (Summer, #2)",4.14,https://images.gr-assets.com/books/1479864019m/6584188.jpg,https://images.gr-assets.com/books/1479864019s/6584188.jpg
1284,0380813815,1285,2012,Katie McGarry,"Pushing the Limits (Pushing the Limits, #1)",4.08,https://images.gr-assets.com/books/1322770025m/10194514.jpg,https://images.gr-assets.com/books/1322770025s/10194514.jpg
1285,2070372294,1286,2001,"Kennilworthy Whisp, J.K. Rowling",Quidditch Through the Ages,3.85,https://images.gr-assets.com/books/1369689506m/111450.jpg,https://images.gr-assets.com/books/1369689506s/111450.jpg
1286,2264030542,1287,1977,"Harry Allard, James  Marshall","Miss Nelson Is Missing! (Miss Nelson, #1)",4.26,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1287,0030615321,1288,1979,"Richard Bachman, Stephen King",The Long Walk,4.11,https://images.gr-assets.com/books/1309212400m/9014.jpg,https://images.gr-assets.com/books/1309212400s/9014.jpg
1288,0836217632,1289,2001,"Lemony Snicket, Brett Helquist","The Ersatz Elevator (A Series of Unfortunate Events, #6)",4.01,https://images.gr-assets.com/books/1352066916m/172327.jpg,https://images.gr-assets.com/books/1352066916s/172327.jpg
1289,0140099832,1290,2004,Lois Lowry,"Messenger (The Giver, #3)",3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1290,0385314744,1291,2007,J.R. Ward,"Lover Revealed (Black Dagger Brotherhood, #4)",4.3,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1291,0316107417,1292,2005,"Stephen King, Jerry N. Uelsmann",'Salem's Lot,4.25,https://images.gr-assets.com/books/1320478491m/5413.jpg,https://images.gr-assets.com/books/1320478491s/5413.jpg
1292,0894803700,1293,2007,"Trenton Lee Stewart, Carson Ellis","The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",4.14,https://images.gr-assets.com/books/1342715444m/83369.jpg,https://images.gr-assets.com/books/1342715444s/83369.jpg
1293,0449221164,1294,2007,Christopher Hitchens,god is Not Great: How Religion Poisons Everything,3.96,https://images.gr-assets.com/books/1411218313m/43369.jpg,https://images.gr-assets.com/books/1411218313s/43369.jpg
1294,0553801031,1295,2013,Abbi Glines,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",4.21,https://images.gr-assets.com/books/1356822956m/17029526.jpg,https://images.gr-assets.com/books/1356822956s/17029526.jpg
1295,0590457225,1296,2004,Michael Crichton,State of Fear,3.69,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1296,0316929190,1297,2012,Jennifer E. Smith,The Statistical Probability of Love at First Sight,3.8,https://images.gr-assets.com/books/1337187623m/10798416.jpg,https://images.gr-assets.com/books/1337187623s/10798416.jpg
1297,0553052845,1298,2004,Jonathan Stroud,"The Golem's Eye (Bartimaeus, #2)",4.09,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1298,0140390693,1299,1980,Tom Robbins,Still Life with Woodpecker,4.04,https://images.gr-assets.com/books/1308749778m/9566.jpg,https://images.gr-assets.com/books/1308749778s/9566.jpg
1299,0439404371,1300,2004,Jenna Blum,Those Who Save Us,4.12,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1300,0939766027,1301,2005,John Grisham,The Broker,3.77,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1301,0679741011,1302,2011,Beth Revis,"Across the Universe (Across the Universe, #1)",3.78,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1302,0345307674,1303,1978,M. Scott Peck,"The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth",4.03,https://images.gr-assets.com/books/1322673263m/347852.jpg,https://images.gr-assets.com/books/1322673263s/347852.jpg
1303,0425071421,1304,2004,Jim Butcher,"Blood Rites (The Dresden Files, #6)",4.33,https://images.gr-assets.com/books/1345557965m/99383.jpg,https://images.gr-assets.com/books/1345557965s/99383.jpg
1304,0345297687,1305,1942,"Gertrude Chandler Warner, L. Kate Deal","The Boxcar Children (The Boxcar Children, #1)",4.09,https://images.gr-assets.com/books/1173489650m/297249.jpg,https://images.gr-assets.com/books/1173489650s/297249.jpg
1305,0766607119,1306,2013,A.S.A. Harrison,The Silent Wife,3.3,https://images.gr-assets.com/books/1356094989m/16171291.jpg,https://images.gr-assets.com/books/1356094989s/16171291.jpg
1306,1573225789,1307,2011,Caitlin Moran,How to Be a Woman,3.73,https://images.gr-assets.com/books/1405909800m/10600242.jpg,https://images.gr-assets.com/books/1405909800s/10600242.jpg
1307,0380754843,1308,2016,Sarah J. Maas,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",4.72,https://images.gr-assets.com/books/1485259138m/17927395.jpg,https://images.gr-assets.com/books/1485259138s/17927395.jpg
1308,0345368940,1309,2010,Keith Richards,Life,3.84,https://images.gr-assets.com/books/1327960451m/9439303.jpg,https://images.gr-assets.com/books/1327960451s/9439303.jpg
1309,0345331605,1310,2008,Jhumpa Lahiri,Unaccustomed Earth,4.11,https://images.gr-assets.com/books/1320398140m/85301.jpg,https://images.gr-assets.com/books/1320398140s/85301.jpg
1310,0425050807,1311,1998,Anita Shreve,The Pilot's Wife,3.5,https://images.gr-assets.com/books/1435011220m/5191.jpg,https://images.gr-assets.com/books/1435011220s/5191.jpg
1311,044100962X,1312,1985,Don DeLillo,White Noise,3.86,https://images.gr-assets.com/books/1327934706m/11762.jpg,https://images.gr-assets.com/books/1327934706s/11762.jpg
1312,0553296981,1313,1992,Stephen E. Ambrose,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",4.42,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1313,1895383129,1314,1859,Charles Darwin,The Origin of Species,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1314,0375724575,1315,2003,Craig Thompson,Blankets,4.06,https://images.gr-assets.com/books/1460925949m/25179.jpg,https://images.gr-assets.com/books/1460925949s/25179.jpg
1315,067163884X,1316,2008,David Wroblewski,The Story of Edgar Sawtelle,3.6,https://images.gr-assets.com/books/1310466361m/2731276.jpg,https://images.gr-assets.com/books/1310466361s/2731276.jpg
1316,0553140434,1317,2000,Christina Schwarz,Drowning Ruth,3.73,https://images.gr-assets.com/books/1390180160m/5171.jpg,https://images.gr-assets.com/books/1390180160s/5171.jpg
1317,0029087104,1318,1971,Charles Bukowski,Post Office,4.01,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1318,0425050750,1319,1992,Cormac McCarthy,"All the Pretty Horses (The Border Trilogy, #1)",3.97,https://images.gr-assets.com/books/1498463335m/469571.jpg,https://images.gr-assets.com/books/1498463335s/469571.jpg
1319,0345285549,1320,1914,"Arthur Conan Doyle, Kyle Freeman","The Complete Sherlock Holmes, Vol 2",4.46,https://images.gr-assets.com/books/1347663158m/3586.jpg,https://images.gr-assets.com/books/1347663158s/3586.jpg
1320,0345290240,1321,1997,"Eiichirō Oda, Andy Nakatani","One Piece, Volume 01: Romance Dawn (One Piece, #1)",4.42,https://images.gr-assets.com/books/1318523719m/1237398.jpg,https://images.gr-assets.com/books/1318523719s/1237398.jpg
1321,0345301870,1322,1968,Peter S. Beagle,"The Last Unicorn (The Last Unicorn, #1)",4.18,https://images.gr-assets.com/books/1358147318m/29127.jpg,https://images.gr-assets.com/books/1358147318s/29127.jpg
1322,0451169530,1323,2005,Angie Sage,"Magyk (Septimus Heap, #1)",3.8,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1323,067168390X,1324,2000,Laurie Halse Anderson,Fever 1793,3.89,https://images.gr-assets.com/books/1381743126m/781110.jpg,https://images.gr-assets.com/books/1381743126s/781110.jpg
1324,0385335881,1325,2008,Tana French,"The Likeness (Dublin Murder Squad, #2)",4.05,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1325,0385335482,1326,2015,Erik Larson,Dead Wake: The Last Crossing of the Lusitania,4.07,https://images.gr-assets.com/books/1408923747m/22551730.jpg,https://images.gr-assets.com/books/1408923747s/22551730.jpg
1326,0553258001,1327,1894,Rudyard Kipling,The Jungle Book,3.94,https://images.gr-assets.com/books/1327873594m/77270.jpg,https://images.gr-assets.com/books/1327873594s/77270.jpg
1327,0671679627,1328,2013,Terry Hayes,"I Am Pilgrim (Pilgrim, #1)",4.23,https://images.gr-assets.com/books/1403345411m/18144124.jpg,https://images.gr-assets.com/books/1403345411s/18144124.jpg
1328,0375704043,1329,1956,"Allen Ginsberg, William Carlos Williams",Howl and Other Poems,4.14,https://images.gr-assets.com/books/1327870926m/6295.jpg,https://images.gr-assets.com/books/1327870926s/6295.jpg
1329,0373871279,1330,1997,Richard Carlson,Don't Sweat the Small Stuff ... and it's all small stuff: Simple Ways to Keep the Little Things from Taking Over Your Life,3.95,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1330,0373484070,1331,2011,"Adam Mansbach, Ricardo Cortés",Go the Fuck to Sleep,4.26,https://images.gr-assets.com/books/1342861907m/11192642.jpg,https://images.gr-assets.com/books/1342861907s/11192642.jpg
1331,0805063889,1332,1992,Douglas Adams,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",3.96,https://images.gr-assets.com/books/1320725132m/360.jpg,https://images.gr-assets.com/books/1320725132s/360.jpg
1332,068986020X,1333,2003,Walter Isaacson,Benjamin Franklin: An American Life,3.96,https://images.gr-assets.com/books/1397772877m/10883.jpg,https://images.gr-assets.com/books/1397772877s/10883.jpg
1333,0671568809,1334,2011,Téa Obreht,The Tiger's Wife,3.37,https://images.gr-assets.com/books/1382570044m/8366402.jpg,https://images.gr-assets.com/books/1382570044s/8366402.jpg
1334,1573228567,1335,2005,Maria V. Snyder,"Poison Study (Study, #1)",4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1335,0553582658,1336,2007,J.R. Ward,"Lover Unbound (Black Dagger Brotherhood, #5)",4.33,https://images.gr-assets.com/books/1351276662m/304027.jpg,https://images.gr-assets.com/books/1351276662s/304027.jpg
1336,051513399X,1337,2004,Terry Pratchett,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",4.36,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1337,0373218400,1338,1830,"Anonymous, Joseph Smith Jr.",The Book of Mormon: Another Testament of Jesus Christ,4.37,https://images.gr-assets.com/books/1327389004m/323355.jpg,https://images.gr-assets.com/books/1327389004s/323355.jpg
1338,0449217868,1339,1980,Stephen King,The Mist,3.92,https://images.gr-assets.com/books/1331317781m/813214.jpg,https://images.gr-assets.com/books/1331317781s/813214.jpg
1339,0671573020,1340,2005,Jim Butcher,"Dead Beat (The Dresden Files, #7)",4.43,https://images.gr-assets.com/books/1345667776m/17683.jpg,https://images.gr-assets.com/books/1345667776s/17683.jpg
1340,0517006456,1341,2015,Pierce Brown,"Golden Son (Red Rising, #2)",4.46,https://images.gr-assets.com/books/1394684475m/18966819.jpg,https://images.gr-assets.com/books/1394684475s/18966819.jpg
1341,0786867086,1342,2002,Terry Pratchett,"Night Watch (Discworld, #29; City Watch, #6)",4.47,https://images.gr-assets.com/books/1320518310m/47989.jpg,https://images.gr-assets.com/books/1320518310s/47989.jpg
1342,1569471800,1343,1986,Terry Pratchett,"The Light Fantastic (Discworld, #2; Rincewind #2)",3.94,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1343,0374216495,1344,2009,Malcolm Gladwell,What the Dog Saw and Other Adventures,3.82,https://images.gr-assets.com/books/1344263875m/6516450.jpg,https://images.gr-assets.com/books/1344263875s/6516450.jpg
1344,0312274572,1345,2015,Karin Slaughter,Pretty Girls,3.95,https://images.gr-assets.com/books/1432205734m/25574782.jpg,https://images.gr-assets.com/books/1432205734s/25574782.jpg
1345,0316825336,1346,2008,Joe Abercrombie,"Last Argument of Kings (The First Law, #3)",4.26,https://images.gr-assets.com/books/1302062699m/944076.jpg,https://images.gr-assets.com/books/1302062699s/944076.jpg
1346,0871137631,1347,2014,Stephen King,Revival,3.75,https://images.gr-assets.com/books/1394651975m/20926278.jpg,https://images.gr-assets.com/books/1394651975s/20926278.jpg
1347,0679419152,1348,1954,Dr. Seuss,Horton Hears a Who!,4.16,https://images.gr-assets.com/books/1327924655m/7779.jpg,https://images.gr-assets.com/books/1327924655s/7779.jpg
1348,0060192895,1349,2006,Michael   Lewis,The Blind Side: Evolution of a Game,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1349,0826308791,1350,2001,Garth Nix,"Lirael (Abhorsen, #2)",4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1350,0140259198,1351,2006,James Patterson,"School's Out—Forever (Maximum Ride, #2)",4.16,https://images.gr-assets.com/books/1346079917m/13139.jpg,https://images.gr-assets.com/books/1346079917s/13139.jpg
1351,0345435249,1352,2007,"Yana Toboso, Tomo Kimura","Black Butler, Vol. 1 (Black Butler, #1)",4.37,https://images.gr-assets.com/books/1336691148m/6690979.jpg,https://images.gr-assets.com/books/1336691148s/6690979.jpg
1352,0441003257,1353,2015,Marissa Meyer,"Winter (The Lunar Chronicles, #4)",4.49,https://images.gr-assets.com/books/1470057036m/13206900.jpg,https://images.gr-assets.com/books/1470057036s/13206900.jpg
1353,8850200005,1354,1886,"Robert Louis Stevenson, Robert Mighall",The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,3.94,https://images.gr-assets.com/books/1327927453m/51497.jpg,https://images.gr-assets.com/books/1327927453s/51497.jpg
1354,0451202503,1355,2012,Emily Seife,The Hunger Games Tribute Guide,4.4,https://images.gr-assets.com/books/1322760235m/13027304.jpg,https://images.gr-assets.com/books/1322760235s/13027304.jpg
1355,0446606812,1356,2008,Peter V. Brett,"The Warded Man (Demon Cycle, #1)",4.27,https://images.gr-assets.com/books/1354571949m/3428935.jpg,https://images.gr-assets.com/books/1354571949s/3428935.jpg
1356,0671028375,1357,1678,John Bunyan,The Pilgrim's Progress,3.98,https://images.gr-assets.com/books/1405982367m/29797.jpg,https://images.gr-assets.com/books/1405982367s/29797.jpg
1357,0451181468,1358,2005,Lee Child,"One Shot (Jack Reacher, #9)",4.2,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1358,0399149759,1359,2012,Rick Riordan,"The Serpent's Shadow (Kane Chronicles, #3)",4.28,https://images.gr-assets.com/books/1366227982m/12893742.jpg,https://images.gr-assets.com/books/1366227982s/12893742.jpg
1359,0345384733,1360,2008,Stephen King,Duma Key,3.93,https://images.gr-assets.com/books/1470266968m/472343.jpg,https://images.gr-assets.com/books/1470266968s/472343.jpg
1360,0671759361,1361,2006,Kate Morton,The House at Riverton,3.93,https://images.gr-assets.com/books/1356452218m/1278752.jpg,https://images.gr-assets.com/books/1356452218s/1278752.jpg
1361,0830724982,1362,2000,Robert Jordan,"Winter's Heart (Wheel of Time, #9)",3.92,https://images.gr-assets.com/books/1480096268m/13891.jpg,https://images.gr-assets.com/books/1480096268s/13891.jpg
1362,0399146008,1363,2006,Jim Butcher,"Proven Guilty (The Dresden Files, #8)",4.41,https://images.gr-assets.com/books/1345667469m/91474.jpg,https://images.gr-assets.com/books/1345667469s/91474.jpg
1363,3442720001,1364,1864,"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus","Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",4.17,https://images.gr-assets.com/books/1411241656m/17876.jpg,https://images.gr-assets.com/books/1411241656s/17876.jpg
1364,0515132632,1365,1940,Carson McCullers,The Heart is a Lonely Hunter,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1365,044990671X,1366,2014,Rick Yancey,"The Infinite Sea (The 5th Wave, #2)",3.94,https://images.gr-assets.com/books/1395351812m/16131484.jpg,https://images.gr-assets.com/books/1395351812s/16131484.jpg
1366,0688124402,1367,1958,T.H. White,The Once and Future King (The Once and Future King #1-4),4.08,https://images.gr-assets.com/books/1338741283m/43545.jpg,https://images.gr-assets.com/books/1338741283s/43545.jpg
1367,0929587081,1368,1992,Terry Pratchett,"Small Gods (Discworld, #13)",4.27,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1368,155970117X,1369,1999,Christopher Paul Curtis,"Bud, Not Buddy",3.89,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1369,0688105408,1370,2006,Alison Bechdel,Fun Home: A Family Tragicomic,4.12,https://images.gr-assets.com/books/1327652831m/38990.jpg,https://images.gr-assets.com/books/1327652831s/38990.jpg
1370,0871130297,1371,2007,Dan Ariely,Predictably Irrational: The Hidden Forces That Shape Our Decisions,4.1,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1371,0440500095,1372,2012,أحمد مراد,الفيل الأزرق,3.8,https://images.gr-assets.com/books/1485105416m/16031620.jpg,https://images.gr-assets.com/books/1485105416s/16031620.jpg
1372,1570362084,1373,1980,Lynne Reid Banks,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",3.89,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1373,0060930535,1374,2012,"Robert Jordan, Brandon Sanderson","A Memory of Light (Wheel of Time, #14)",4.5,https://images.gr-assets.com/books/1336055749m/7743175.jpg,https://images.gr-assets.com/books/1336055749s/7743175.jpg
1374,0375702709,1375,2012,Jesse Andrews,Me and Earl and the Dying Girl,3.58,https://images.gr-assets.com/books/1337216932m/12700353.jpg,https://images.gr-assets.com/books/1337216932s/12700353.jpg
1375,044990928X,1376,2010,Jeff Kinney,"The Ugly Truth (Diary of a Wimpy Kid, #5)",4.16,https://images.gr-assets.com/books/1332046095m/7823678.jpg,https://images.gr-assets.com/books/1332046095s/7823678.jpg
1376,0671038184,1377,2002,Janet Evanovich,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",4.34,https://images.gr-assets.com/books/1317792858m/147074.jpg,https://images.gr-assets.com/books/1317792858s/147074.jpg
1377,0060916508,1378,1998,Simon Winchester,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",3.84,https://images.gr-assets.com/books/1407110918m/25019.jpg,https://images.gr-assets.com/books/1407110918s/25019.jpg
1378,0756401453,1379,2002,"James Patterson, Andrew Gross","2nd Chance (Women's Murder Club, #2)",4.01,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1379,0963270702,1380,1986,Art Spiegelman,"The Complete Maus (Maus, #1-2)",4.53,https://images.gr-assets.com/books/1327354180m/15195.jpg,https://images.gr-assets.com/books/1327354180s/15195.jpg
1380,0399242562,1381,2001,Jasper Fforde,"The Eyre Affair (Thursday Next, #1)",3.92,https://images.gr-assets.com/books/1445540555m/27003.jpg,https://images.gr-assets.com/books/1445540555s/27003.jpg
1381,0552996009,1382,1989,"Faye Perozich, Anne Rice, John Bolton, Daerick Gröss",Anne Rice's The Vampire Lestat: A Graphic Novel,4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1382,0708881297,1383,1978,"Louis Sachar, Adam McCauley",Sideways Stories from Wayside School (Wayside School #1),4.14,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1383,0142000663,1384,1998,"Dalai Lama XIV, Howard C. Cutler",The Art of Happiness,4.14,https://images.gr-assets.com/books/1309287434m/38210.jpg,https://images.gr-assets.com/books/1309287434s/38210.jpg
1384,0590542443,1385,2014,David Mitchell,The Bone Clocks,3.81,https://images.gr-assets.com/books/1398205538m/20819685.jpg,https://images.gr-assets.com/books/1398205538s/20819685.jpg
1385,0590112899,1386,1998,Anna Quindlen,Black and Blue,3.86,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1386,0590660543,1387,2010,"L.J. Smith, Kevin Williamson, Julie Plec","Origins (The Vampire Diaries: Stefan's Diaries, #1)",4.1,https://images.gr-assets.com/books/1282055412m/7726143.jpg,https://images.gr-assets.com/books/1282055412s/7726143.jpg
1387,0345361792,1388,2004,John Grisham,The Last Juror,3.85,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1388,0552999512,1389,2003,Chuck Palahniuk,Diary,3.6,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1389,041619513X,1390,2005,Janet Evanovich,"Eleven on Top (Stephanie Plum, #11)",4.15,https://images.gr-assets.com/books/1166394806m/11003.jpg,https://images.gr-assets.com/books/1166394806s/11003.jpg
1390,0855030224,1391,2005,"Cornelia Funke, Anthea Bell","Inkspell (Inkworld, #2)",3.91,https://images.gr-assets.com/books/1395358683m/28195.jpg,https://images.gr-assets.com/books/1395358683s/28195.jpg
1391,0861638522,1392,2003,Chuck Klosterman,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",3.75,https://images.gr-assets.com/books/1380742001m/599.jpg,https://images.gr-assets.com/books/1380742001s/599.jpg
1392,0575073314,1393,1945,Evelyn Waugh,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,3.99,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1393,0575073004,1394,2007,Jim Butcher,"White Night (The Dresden Files, #9)",4.41,https://images.gr-assets.com/books/1309552288m/91475.jpg,https://images.gr-assets.com/books/1309552288s/91475.jpg
1394,0394404289,1395,2014,Jessie Burton,The Miniaturist,3.58,https://images.gr-assets.com/books/1392415313m/18498569.jpg,https://images.gr-assets.com/books/1392415313s/18498569.jpg
1395,000636988X,1396,1984,"Margaret Weis, Tracy Hickman","Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",4.03,https://images.gr-assets.com/books/1390668127m/259836.jpg,https://images.gr-assets.com/books/1390668127s/259836.jpg
1396,1578562333,1397,2006,Eoin Colfer,"The Lost Colony (Artemis Fowl, #5)",4.01,https://images.gr-assets.com/books/1360177158m/37586.jpg,https://images.gr-assets.com/books/1360177158s/37586.jpg
1397,0345458915,1398,2006,Scott Westerfeld,"Extras (Uglies, #4)",3.59,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1398,038531258X,1399,2005,John Flanagan,"The Burning Bridge (Ranger's Apprentice, #2)",4.28,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1399,006092988X,1400,2014,Deborah Harkness,"The Book of Life (All Souls Trilogy, #3)",4.15,https://images.gr-assets.com/books/1389281784m/16054217.jpg,https://images.gr-assets.com/books/1389281784s/16054217.jpg
1400,0140317937,1401,1992,Julia Cameron,The Artist's Way: A Spiritual Path to Higher Creativity,3.89,https://images.gr-assets.com/books/1440952332m/615570.jpg,https://images.gr-assets.com/books/1440952332s/615570.jpg
1401,0743225406,1402,1992,"Jon Scieszka, Lane Smith",The Stinky Cheese Man and Other Fairly Stupid Tales,4.2,https://images.gr-assets.com/books/1488588399m/407429.jpg,https://images.gr-assets.com/books/1488588399s/407429.jpg
1402,0553256696,1403,2009,Joe Hill,Horns,3.92,https://images.gr-assets.com/books/1402958805m/6587879.jpg,https://images.gr-assets.com/books/1402958805s/6587879.jpg
1403,0785263780,1404,2011,Robert K. Massie,Catherine the Great: Portrait of a Woman,3.91,https://images.gr-assets.com/books/1403395276m/10414941.jpg,https://images.gr-assets.com/books/1403395276s/10414941.jpg
